Reviewed	Classification	UniProt	Title	PDB chain IDs
FALSE	4.2	F2VN85	F2VN85 OmpC protein OS=Klebsiella pneumoniae OX=573 GN=ompK36 PE=1 SV=1	5nupA
FALSE	5.3	Q2RFK4	Q2RFK4 Selenocysteine-specific elongation factor OS=Moorella thermoacetica (strain ATCC 39073 / JCM 9320) OX=264732 GN=Moth_2503 PE=1 SV=1	2uwmA,2uwmB
FALSE	3.1	Q6TFC6	Q6TFC6 QdtC OS=Thermoanaerobacterium thermosaccharolyticum OX=1517 GN=qdtC PE=1 SV=1	3fs8A,3fs8B,3fsbA,3fsbB,3fscA,3fscB
FALSE	3.2	Q9ZVR7	Q9ZVR7 Phytosulfokine receptor 1 OS=Arabidopsis thaliana OX=3702 GN=PSKR1 PE=1 SV=4	4z63A,4z64A
FALSE	3.4	Q45040	Q45040 Outer surface protein A OS=Borreliella burgdorferi OX=139 GN=ospA PE=1 SV=1	2ol6O,2pi3O,3ckfA,3ckgA
FALSE	4.2	P27485	P27485 Retinol-binding protein 4 OS=Sus scrofa OX=9823 GN=RBP4 PE=1 SV=2	1aqbA
FALSE	4.1	A6VQF1	A6VQF1 Glucarate dehydratase OS=Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 / 130Z) OX=339671 GN=Asuc_1847 PE=1 SV=1	4g8tA,4g8tB,4g8tD
FALSE	3.3	A0A0H2VDN9	A0A0H2VDN9 Secretory immunoglobulin A-binding protein EsiB OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=esiB PE=1 SV=1	4bwrA
FALSE	4.1	Q8YHF1	Q8YHF1 2-dehydro-3-deoxyphosphooctonate aldolase OS=Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094) OX=224914 GN=kdsA PE=1 SV=1	3fs2A,3fs2B
FALSE	4.2,5.5	P11922	P11922 Invasin OS=Yersinia pseudotuberculosis serotype I (strain IP32953) OX=273123 GN=YPTB1668 PE=1 SV=2	1cwvA,4e1tA
FALSE	4.2	Q8WTC7	Q8WTC7 Green fluorescent protein OS=Aequorea macrodactyla OX=147615 GN=GFP PE=1 SV=1	7lg4A
FALSE	3.1	A1JJ76	A1JJ76 Putative pectinesterase OS=Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081) OX=393305 GN=YE0549 PE=1 SV=1	3uw0A
FALSE	4.2	C3YRA3	C3YRA3 Uncharacterized protein OS=Branchiostoma floridae OX=7739 GN=BRAFLDRAFT_75523 PE=1 SV=1	4dkmA
FALSE	4.4	P38262	P38262 SIR4-interacting protein SIF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SIF2 PE=1 SV=2	1r5mA
FALSE	4.2	P17172	P17172 Baseplate central spike complex protein gp27 OS=Enterobacteria phage T4 OX=10665 GN=27 PE=1 SV=4	2z6bD
FALSE	3.3	Q9NZ52	Q9NZ52 ADP-ribosylation factor-binding protein GGA3 OS=Homo sapiens OX=9606 GN=GGA3 PE=1 SV=1	1jplB,1jplC,1jplD,1juqB,1lf8A,1lf8B,1lf8C,1lf8D
FALSE	3.3	C4XPQ7	C4XPQ7 Magnetosome protein MamA OS=Solidesulfovibrio magneticus (strain ATCC 700980 / DSM 13731 / RS-1) OX=573370 GN=mamA PE=1 SV=1	4xi0A,4xi0B,4xi0C,4xi0D,4xi0E,4xi0F,5lflA,5lflB,5lflC,5lflD,5lflE,5lflF,5lfmA,5lfmB,5lfmC,5lfmD,5lfmE,5lfmF
FALSE	4.4	Q9V3J8	Q9V3J8 Protein will die slowly OS=Drosophila melanogaster OX=7227 GN=wds PE=1 SV=1	4cy3A,4cy5A
FALSE	4.5	O67315	O67315 UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Aquifex aeolicus (strain VF5) OX=224324 GN=murA PE=1 SV=1	2yvwA,3swgA
FALSE	3.3	P55196	P55196 Afadin OS=Homo sapiens OX=9606 GN=AFDN PE=1 SV=3	5a6cA,5a6cB
FALSE	4.4	Q03774	Q03774 tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRM82 PE=1 SV=1	2vduB,2vduD
FALSE	4.4	Q676U5	Q676U5 Autophagy-related protein 16-1 OS=Homo sapiens OX=9606 GN=ATG16L1 PE=1 SV=2	5nuvA
FALSE	4.4	Q2YDS1	Q2YDS1 DNA damage-binding protein 2 OS=Danio rerio OX=7955 GN=ddb2 PE=1 SV=2	3ei1B,3ei2B,3ei3B,4a08B,4a09B,4a0aB,4a0bB,4a0bD,4a0kD,4a0lB,4a0lD
FALSE	3.6	C5A5N6	C5A5N6 DNA polymerase sliding clamp OS=Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3) OX=593117 GN=pcn PE=1 SV=1	5a6dA
FALSE	4.2	Q9I690	Q9I690 UPF0312 protein PA0423 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA0423 PE=1 SV=1	7bwlA
FALSE	4.4,3.3	P36037	P36037 Protein DOA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DOA1 PE=1 SV=1	3l3fX,3odtA,3odtB,3pspA,3pstA
FALSE	4.1	P9WPE1	P9WPE1 Citrate lyase subunit beta-like protein OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=citE PE=1 SV=1	1u5hA,1u5vA,1z6kA,6aq4A
FALSE	4.1	A0A127ELD1	A0A127ELD1 Inosine-5'-monophosphate dehydrogenase OS=Clostridium perfringens OX=1502 GN=guaB PE=1 SV=1	5uwxA
FALSE	3.3	P42771	P42771 Cyclin-dependent kinase inhibitor 2A OS=Homo sapiens OX=9606 GN=CDKN2A PE=1 SV=2	1a5eA,1bi7B,1dc2A,2a5eA
FALSE	3.3	A0A826HJD3	A0A826HJD3 HTH cro/C1-type domain-containing protein OS=Bacillus thuringiensis Bt407 OX=527021 GN=bthur0002_52210 PE=4 SV=1	3u3wA,3u3wB,4fscA,4fscB,4fscC,4fscD
FALSE	4.2	H9KVH9	H9KVH9 Transferrin-binding protein B OS=Moraxella bovis OX=476 GN=LbpB PE=1 SV=1	3uaqA,3uaqB
FALSE	4.1,3.1	A5U161	A5U161 Bifunctional protein GlmU OS=Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra) OX=419947 GN=glmU PE=1 SV=1	3dk5A,6ge9A
FALSE	4.2	Q7BSW5	Q7BSW5 Serine protease EspP OS=Escherichia coli O157:H7 OX=83334 GN=espP PE=1 SV=1	2qomA
FALSE	4.4,4.4	P46680	P46680 Actin-interacting protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=AIP1 PE=1 SV=1	1pguA,1pguB,1pi6A
FALSE	3.3,3.3	Q96NW4	Q96NW4 Ankyrin repeat domain-containing protein 27 OS=Homo sapiens OX=9606 GN=ANKRD27 PE=1 SV=2	4b93B,4cymD,4cymE,4cymF,4cz2D,4cz2E,4cz2F
FALSE	4.4	P23006	P23006 Methylamine dehydrogenase heavy chain OS=Paracoccus versutus OX=34007 GN=mauB PE=1 SV=2	3c75H,3c75J
FALSE	4.4	B0CZL6	B0CZL6 Tectonin 2 OS=Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) OX=486041 GN=LACBIDRAFT_382412 PE=1 SV=1	5fsbA,5fsbB,5fscA,5fscB
FALSE	4.2	P10790	P10790 Fatty acid-binding protein, heart OS=Bos taurus OX=9913 GN=FABP3 PE=1 SV=2	1bwyA
FALSE	4.1	Q9WYD1	Q9WYD1 Transaldolase OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=tal PE=1 SV=1	1vpxA,1vpxB,1vpxC,1vpxD,1vpxE,1vpxF,1vpxG,1vpxH,1vpxI,1vpxJ,1vpxK,1vpxL,1vpxM,1vpxN,1vpxO,1vpxP,1vpxQ,1vpxR,1vpxS,1vpxT
FALSE	4.4	Q15493	Q15493 Regucalcin OS=Homo sapiens OX=9606 GN=RGN PE=1 SV=1	3g4eA,3g4eB,3g4hA,3g4hB,4gnbA,4gnbB,4gncA,4gncB
FALSE	4.4	Q9BZK7	Q9BZK7 F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1	4lg9A
FALSE	3.3,3.3,2.2,2.2	P46675	P46675 Protein STU2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STU2 PE=1 SV=1	2qk1A,4ffbC,4u3jC,6bl7B
FALSE	4.10	P93193	P93193 Ipomoelin OS=Ipomoea batatas OX=4120 GN=IPO PE=1 SV=1	3r50A,3r50B,3r50C,3r50D,3r50E,3r51B,3r52A,3r52B,3r52C,3r52D,4ddnA,4ddnB,4ddnC,4ddnD
FALSE	4.2	P10289	P10289 Gastrotropin OS=Sus scrofa OX=9823 GN=FABP6 PE=1 SV=3	1ealA,1eioA
FALSE	5.5	Q9NBA1	Q9NBA1 Dscam OS=Drosophila melanogaster OX=7227 GN=Dscam1 PE=1 SV=1	2v5mA,2v5sA,2v5sB,4xhqA
FALSE	4.1	A0A3P8MUS3	A0A3P8MUS3 A-amylase OS=Alicyclobacillus sp. OX=61169 PE=1 SV=1	6gxvB
